Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
54;Métro;BASILIQUE DE SAINT-DENIS;3991395;13;;;;;Saint Denis;
107;Métro;GLACIERE;3005750;6;;;;;Paris;13
86;Métro;CONCORDE;3401219;1;8;12;;;Paris;8
252;Métro;MAISONS-ALFORT-LES JUILLIOTTES;1297495;8;;;;;Maisons -Alfort;
123;Métro;VICTOR HUGO;2801041;2;;;;;Paris;16
137;Métro;ALEXANDRE DUMAS;2476608;2;;;;;Paris;11
7;Métro;REPUBLIQUE;11079708;3;5;8;9;11;Paris;11
165;Métro;SAINT-AMBROISE;2158466;9;;;;;Paris;11
112;Métro;LE KREMLIN-BICETRE;2925325;7;;;;;Kremlin-Bicêtre;
256;Métro;PHILIPPE AUGUSTE;1262653;2;;;;;Paris;11
293;Métro;KLEBER;724215;6;;;;;Paris;16
171;Métro;PASSY;2080548;6;;;;;Paris;16
179;Métro;MARAICHERS;1994064;9;;;;;Paris;20
290;Métro;VARENNE;782697;13;;;;;Paris;7
10;RER;NOISY-LE-GRAND-MONT D'EST;5477236;A;;;;;Noisy-le-Grand;
24;RER;NANTERRE-UNIVERSITE;3069010;A;;;;;Nanterre;
33;Métro;PLACE CLICHY;5161932;2;13;;;;Paris;17
191;Métro;LAMARCK-CAULAINCOURT;1875717;12;;;;;Paris;18
51;Métro;PORTE MAILLOT;4138301;1;;;;;Paris;16
207;Métro;LIBERTE;1704609;8;;;;;Charenton;
73;Métro;REAUMUR-SEBASTOPOL;3579544;3;4;;;;Paris;3
234;Métro;MICHEL-ANGE-AUTEUIL;1512050;9;10;;;;Paris;16
103;Métro;PORTE DE MONTREUIL;3067413;9;;;;;Paris;20
34;RER;LA CROIX DE BERNY;2357629;B;;;;;Antony;
247;Métro;LA TOUR-MAUBOURG;1361723;8;;;;;Paris;7
12;Métro;BELLEVILLE;7314438;2;11;;;;Paris;10
19;Métro;MAIRIE DE MONTREUIL;6158487;9;;;;;Montreuil;
80;Métro;ODEON;3478491;4;10;;;;Paris;6
92;Métro;CRETEIL-PREFECTURE;3330602;8;;;;;Créteil;
77;Métro;PIGALLE;3501831;2;12;;;;Paris;18
126;Métro;PORTE DE LA VILLETTE;2706288;7;;;;;Paris;19
141;Métro;SAINT-PLACIDE;2391205;4;;;;;Paris;6
155;Métro;MALAKOFF-PLATEAU DE VANVES;2242320;13;;;;;Malakoff;
58;RER;LE GUICHET;530706;B;;;;;Orsay;
95;Métro;BALARD;3236801;8;;;;;Paris;15
40;Métro;PALAIS-ROYAL;4822599;1;7;;;;Paris;1
4;Métro;MONTPARNASSE-BIENVENUE;20407224;4;6;12;13;;Paris;14
159;Métro;GONCOURT;2199170;11;;;;;Paris;11
8;Métro;LES HALLES;10623876;4;;;;;Paris;1
273;Métro;CARDINAL LEMOINE;1121854;10;;;;;Paris;5
158;Métro;GUY MOQUET;2205313;13;;;;;Paris;17
186;Métro;PORTE DOREE;1918182;8;;;;;Paris;12
189;Métro;LES AGNETTES;1890356;13;;;;;Asnières sur Seine;
263;Métro;MABILLON;1195051;10;;;;;Paris;6
291;Métro;SAINT-GEORGES;751555;12;;;;;Paris;9
296;Métro;ASSEMBLEE NATIONALE;611512;12;;;;;Paris;7
20;RER;NATION-RER;3492188;A;;;;;Paris;12
46;RER;ROBINSON;1591739;B;;;;;Sceaux;
303;Métro;PRE-SAINT-GERVAIS;282626;7bis;;;;;Paris;19
35;Métro;CHATILLON-MONTROUGE;5034012;13;;;;;Chatillon;
39;Métro;MAIRIE DE SAINT-OUEN;4830810;13;14;;;;Saint Ouen;
66;Métro;GRANDS BOULEVARDS;3737316;8;9;;;;Paris;9
111;Métro;PONT DE LEVALLOIS-BECON;2984777;3;;;;;Levallois-Perret;
129;Métro;CHATEAU D'EAU;2687103;4;;;;;Paris;10
133;Métro;DENFERT-ROCHEREAU;2543959;4;6;;;;Paris;14
134;Métro;CORENTIN CELTON;2504682;12;;;;;Issy Les Moulineaux;
174;Métro;MAIRIE D'IVRY;2042071;7;;;;;Ivry;
199;Métro;RANELAGH;1779206;9;;;;;Paris;16
239;Métro;MALAKOFF-RUE ETIENNE DOLET;1450451;13;;;;;Malakoff;
243;Métro;MICHEL-ANGE-MOLITOR;1420552;9;10;;;;Paris;16
245;Métro;SAINT-JACQUES;1407837;6;;;;;Paris;13
272;Métro;SULLY-MORLAND;1124169;7;;;;;Paris;4
298;Métro;SAINT-FARGEAU;472258;3bis;;;;;Paris;8
23;RER;TORCY;3091308;A;;;;;Torcy;
65;RER;PARC DE SCEAUX;383626;B;;;;;Antony;
66;RER;LA HACQUINIERE;285626;B;;;;;Bures sur Yvette;
75;Métro;CRIMEE;3543952;7;;;;;Paris;19
109;Métro;ROBESPIERRE;2986308;9;;;;;Montreuil;
152;Métro;BOUCICAUT;2288055;8;;;;;Paris;15
168;Métro;CRETEIL-POINTE DU LAC;2114438;8;;;;;Créteil;
183;Métro;FRONT POPULAIRE;1948542;12;;;;;Saint Denis / Aubervilliers;
193;Métro;PORTE DE LA CHAPELLE;1866281;12;;;;;Paris;18
205;Métro;BOURSE;1725043;3;;;;;Paris;2
216;Métro;GAITE;1644148;13;;;;;Paris;14
229;Métro;BROCHANT;1543298;13;;;;;Paris;17
265;Métro;QUATRE-SEPTEMBRE;1165004;3;;;;;Paris;2
281;Métro;AVENUE EMILE ZOLA;1041233;10;;;;;Paris;15
295;Métro;FALGUIERE;650291;12;;;;;Paris;15
6;RER;VAL DE FONTENAY;10096433;A;;;;;Fontenay-sous-Bois;
41;RER;BRY-SUR-MARNE;1925748;A;;;;;Bry-sur-Marne;
49;RER;GENTILLY;1521999;B;;;;;Gentilly;
62;RER;GIF-SUR-YVETTE;442255;B;;;;;Gif sur Yvette;
100;Métro;ALESIA;3098136;4;;;;;Paris;14
202;Métro;QUAI DE LA GARE;1735465;6;;;;;Paris;13
50;Métro;PONT CARDINET;4168538;14;;;;;Paris;17
218;Métro;CAMBRONNE;1636566;6;;;;;Paris;15
85;Métro;ANVERS;3420749;2;;;;;Paris;18
240;Métro;BUZENVAL;1448855;9;;;;;Paris;20
241;Métro;MALESHERBES;1427143;3;;;;;Paris;17
260;Métro;BOISSIERE;1224181;6;;;;;Paris;16
143;Métro;LES GOBELINS;2365942;7;;;;;Paris;13
278;Métro;SEGUR;1100151;10;;;;;Paris;15
51;RER;LOGNES;1169619;A;;;;;Lognes;
157;Métro;COMMERCE;2212666;8;;;;;Paris;15
275;Métro;EUROPE;1106459;3;;;;;Paris;8
223;Métro;RIQUET;1588438;7;;;;;Paris;19
5;RER;NANTERRE-PREFECTURE;16665520;A;;;;;Nanterre;
253;Métro;PORTE D'IVRY;1282199;7;;;;;Paris;13
17;RER;ANTONY;4090042;B;;;;;Antony;
5;Métro;GARE DE L'EST;15538471;4;5;7;;;Paris;10
13;Métro;HOTEL DE VILLE;7251729;1;11;;;;Paris;4
55;Métro;MARCADET-POISSONNIERS;3982005;4;12;;;;Paris;18
118;Métro;MENILMONTANT;2847264;2;;;;;Paris;11
98;Métro;PORTE DES LILAS;3105016;3bis;11;;;;Paris;20
140;Métro;ARTS ET METIERS;2403042;3;11;;;;Paris;3
147;Métro;ANATOLE FRANCE;2311825;3;;;;;Levallois-Perret;
160;Métro;FAIDHERBE-CHALIGNY;2190416;8;;;;;Paris;12
164;Métro;CHARENTON-ECOLES;2164023;8;;;;;Charenton;
192;Métro;LOUVRE;1869612;1;;;;;Paris;1
251;Métro;NATIONALE;1320290;6;;;;;Paris;13
12;RER;CHARLES DE GAULLE-ETOILE-RER;4945694;A;;;;;Paris;17
220;Métro;BEL AIR;1605573;6;;;;;Paris;12
40;RER;SUCY-BONNEUIL;1993503;A;;;;;Sucy-en-Brie;
32;Métro;OPERA;5193831;3;7;8;;;Paris;9
208;Métro;MAISONS-ALFORT-STADE;1702479;8;;;;;Maisons -Alfort;
94;Métro;LAUMIERE;3258568;5;;;;;Paris;19
268;Métro;MONCEAU;1148677;2;;;;;Paris;17
24;Métro;PORTE DE CLIGNANCOURT;5611814;4;;;;;Paris;18
150;Métro;CENSIER-DAUBENTON;2291843;7;;;;;Paris;6
56;RER;PALAISEAU-VILLEBON;591438;B;;;;;Palaiseau;
45;Métro;MAIRIE DE MONTROUGE;4316647;4;;;;;Montrouge;
71;Métro;CHATEAU DE VINCENNES;3617738;1;;;;;Vincennes;
106;Métro;LA MUETTE;3010370;9;;;;;Paris;16
124;Métro;CHEVALERET;2748696;6;;;;;Paris;13
153;Métro;TOLBIAC;2287918;7;;;;;Paris;13
188;Métro;NOTRE-DAME-DE-LORETTE;1893828;12;;;;;Paris;9
249;Métro;AVRON;1345521;2;;;;;Paris;11
299;Métro;DANUBE;400157;7bis;;;;;Paris;19
11;Métro;BASTILLE;8069243;1;5;8;;;Paris;12
13;RER;NEUILLY-PLAISANCE;4680493;A;;;;;Neuilly-sur-Seine;
60;RER;FONTAINE-MICHALON;473408;B;;;;;Antony;
125;Métro;PORTE DE SAINT-OUEN;2710638;13;;;;;Paris;17
116;Métro;OURCQ;2862337;5;;;;;Paris;19
121;Métro;ECOLE MILITAIRE;2805976;8;;;;;Paris;7
128;Métro;BOULOGNE-JEAN JAURES;2700354;10;;;;;Boulogne Billancourt;
